name,category,lat,lon,sustainability,popularity
Pont Vell (Medieval Bridge),Historic,42.1989,2.7004,0.3,0.83
Monestir de Sant Pere,Historic,42.1978,2.7009,0.3,0.91
Església de Sant Vicenç,Historic,42.1981,2.6998,0.3,0.81
Micvé (Jewish Ritual Bath),Historic,42.1985,2.699,0.3,0.92
Jewish Quarter (Call Jueu),Cultural,42.1983,2.6995,0.3,0.95
Casa Cornellà,Historic,42.1987,2.7001,0.3,0.84
Plaça Llibertat,Square,42.1982,2.7003,0.3,0.65
Portal de la Força,Gate,42.1984,2.6997,0.3,0.78
Museu de Miniatures i Microminiatures,Museum,42.1986,2.701,0.36,0.59
Museu del Joguet de Catalunya (Besalú),Museum,42.199,2.7006,0.39,0.6
Ribes del Fluvià Riverside Park,Nature,42.1995,2.6982,0.48,0.54
Parc Fluvial de Besalú,Park,42.2,2.6978,0.52,0.42
Castell de Besalú (Ruins),Historic,42.198,2.7008,0.34,0.56
Centre d'Interpretació del Call,Museum,42.1984,2.6992,0.51,0.58
Pont Nou,Bridge,42.1969,2.703,0.3,0.85
Església de Sant Martí,Historic,42.1992,2.7012,0.3,0.76
Casa Llaudes,Historic,42.1989,2.7,0.48,0.46
Recinte Medieval,Cultural,42.1982,2.6993,0.3,0.89
Torre de la Presó,Historic,42.1986,2.7007,0.6,0.42
Plaça dels Claustres,Square,42.198,2.6999,0.3,0.73
Espai Cultural Curia Reial,Cultural,42.1988,2.6991,0.3,0.73
Camí de Sant Ferriol,Nature,42.2012,2.7105,0.32,0.72
Mirador del Fluvià,Viewpoint,42.2007,2.697,0.3,0.61
Passeig Fluvial,Nature,42.1997,2.6985,0.54,0.45
Cingle de Besalú Viewpoint,Viewpoint,42.2005,2.6958,0.32,0.75
Pont de Pedra,Bridge,42.1975,2.702,0.52,0.49
Aigües de les Creus (Spring),Nature,42.201,2.706,0.58,0.5
Arboretum Besalú Gardens,Park,42.2002,2.704,0.49,0.52
Ermita de Sant Prim,Historic,42.202,2.712,0.3,0.76
Porta d'en Llaudes,Gate,42.1981,2.6994,0.3,0.81
