name,category,lat,lon,sustainability,popularity
Salvador Dalí House (Port Lligat),Museum,42.2884,3.2953,0.3,0.89
Església de Santa Maria de Cadaqués,Historic,42.2887,3.2764,0.3,0.86
Platja Gran,Beach,42.2875,3.2769,0.3,0.91
Cala Portaló,Beach,42.2992,3.3189,0.3,0.9
Cala Jugadora,Beach,42.3197,3.3214,0.3,0.94
Cala Culip,Beach,42.3229,3.3232,0.37,0.68
Cap de Creus Lighthouse,Viewpoint,42.3213,3.3155,0.43,0.57
Far de Cala Nans,Viewpoint,42.2817,3.2813,0.51,0.49
Casa Serinyana (Casa Blaua),Historic,42.2873,3.2765,0.3,0.71
Passeig de Cadaqués,Promenade,42.2878,3.2772,0.36,0.62
Platja de Port Doguer,Beach,42.2876,3.279,0.36,0.64
Cala Sa Conca,Beach,42.298,3.3018,0.42,0.59
Platja de Ses Oliveres,Beach,42.2874,3.2811,0.64,0.45
Cala Guillola,Beach,42.3016,3.3097,0.3,0.74
Parc Natural de Cap de Creus,Nature,42.3192,3.3,0.36,0.7
Casa Pilar,Historic,42.2885,3.2776,0.43,0.67
Castell de Sant Jaume,Historic,42.288,3.276,0.3,0.72
Museu de Cadaqués,Museum,42.2881,3.2771,0.49,0.53
Punta de s'Alqueria,Viewpoint,42.293,3.2895,0.3,0.85
Cala s'Alqueria,Beach,42.2943,3.2887,0.37,0.62
Cala Fredosa,Beach,42.3219,3.3217,0.3,0.69
Cala del Canadell,Beach,42.2957,3.2954,0.3,0.72
Cala Bona,Beach,42.2932,3.2941,0.49,0.38
Cala Torta,Beach,42.2989,3.3101,0.3,0.82
Cala Tamariua,Beach,42.2951,3.281,0.3,0.66
Platja de les Oliveres,Beach,42.287,3.283,0.55,0.48
Cala Nans Trailhead,Nature,42.283,3.281,0.44,0.61
Platja es Sortell,Beach,42.2883,3.2752,0.3,0.92
Carrer de Santa Margarida,Cultural,42.2883,3.2766,0.41,0.63
Galeria Cadaqués,Gallery,42.2878,3.2778,0.54,0.51
