name,category,lat,lon,sustainability,popularity,municipality,z1,z2,z3,z4,z5,z6
Salvador Dalí House (Port Lligat),Museum,42.2884,3.2953,0.3,0.89,cadaques,0.3,0.89,0.5,0.7,0.4,0.6
Església de Santa Maria de Cadaqués,Historic,42.2887,3.2764,0.3,0.86,cadaques,0.4,0.86,0.5,0.7,0.3,0.6
Platja Gran,Beach,42.2875,3.2769,0.3,0.91,cadaques,0.4,0.9,0.5,0.6,0.3,0.8
Cala Portaló,Beach,42.2992,3.3189,0.3,0.9,cadaques,0.4,0.8,0.6,0.5,0.3,0.7
Cala Jugadora,Beach,42.3197,3.3214,0.3,0.94,cadaques,0.3,0.94,0.5,0.6,0.4,0.7
Cala Culip,Beach,42.3229,3.3232,0.37,0.68,cadaques,0.4,0.7,0.5,0.6,0.3,0.8
Cap de Creus Lighthouse,Viewpoint,42.3213,3.3155,0.43,0.57,cadaques,0.43,0.57,0.5,0.6,0.4,0.7
Far de Cala Nans,Viewpoint,42.2817,3.2813,0.51,0.49,cadaques,0.51,0.49,0.5,0.6,0.4,0.7
Casa Serinyana (Casa Blaua),Historic,42.2873,3.2765,0.3,0.71,cadaques,0.4,0.6,0.5,0.7,0.3,0.8
Passeig de Cadaqués,Promenade,42.2878,3.2772,0.36,0.62,cadaques,0.36,0.62,0.5,0.7,0.4,0.8
Platja de Port Doguer,Beach,42.2876,3.279,0.36,0.64,cadaques,0.4,0.7,0.5,0.6,0.3,0.8
Cala Sa Conca,Beach,42.298,3.3018,0.42,0.59,cadaques,0.42,0.59,0.5,0.7,0.4,0.6
Platja de Ses Oliveres,Beach,42.2874,3.2811,0.64,0.45,cadaques,0.5,0.6,0.7,0.8,0.4,0.9
Cala Guillola,Beach,42.3016,3.3097,0.3,0.74,cadaques,0.4,0.74,0.5,0.6,0.3,0.7
Parc Natural de Cap de Creus,Nature,42.3192,3.3,0.36,0.7,cadaques,0.4,0.7,0.5,0.6,0.3,0.8
Casa Pilar,Historic,42.2885,3.2776,0.43,0.67,cadaques,0.43,0.67,0.5,0.6,0.4,0.7
Castell de Sant Jaume,Historic,42.288,3.276,0.3,0.72,cadaques,0.4,0.72,0.5,0.6,0.3,0.8
Museu de Cadaqués,Museum,42.2881,3.2771,0.49,0.53,cadaques,0.49,0.53,0.5,0.6,0.4,0.7
Punta de s'Alqueria,Viewpoint,42.293,3.2895,0.3,0.85,cadaques,0.4,0.85,0.6,0.7,0.3,0.8
Cala s'Alqueria,Beach,42.2943,3.2887,0.37,0.62,cadaques,0.37,0.62,0.5,0.7,0.4,0.8
Cala Fredosa,Beach,42.3219,3.3217,0.3,0.69,cadaques,0.4,0.7,0.5,0.6,0.3,0.8
Cala del Canadell,Beach,42.2957,3.2954,0.3,0.72,cadaques,0.4,0.72,0.5,0.6,0.3,0.8
Cala Bona,Beach,42.2932,3.2941,0.49,0.38,cadaques,0.49,0.38,0.5,0.6,0.4,0.7
Cala Torta,Beach,42.2989,3.3101,0.3,0.82,cadaques,0.4,0.7,0.5,0.6,0.3,0.8
Cala Tamariua,Beach,42.2951,3.281,0.3,0.66,cadaques,0.4,0.66,0.5,0.7,0.3,0.8
Platja de les Oliveres,Beach,42.287,3.283,0.55,0.48,cadaques,0.4,0.6,0.7,0.5,0.3,0.8
Cala Nans Trailhead,Nature,42.283,3.281,0.44,0.61,cadaques,0.3,0.5,0.7,0.6,0.4,0.8
Platja es Sortell,Beach,42.2883,3.2752,0.3,0.92,cadaques,0.4,0.92,0.5,0.6,0.3,0.7
Carrer de Santa Margarida,Cultural,42.2883,3.2766,0.41,0.63,cadaques,0.41,0.63,0.5,0.7,0.4,0.8
Galeria Cadaqués,Gallery,42.2878,3.2778,0.54,0.51,cadaques,0.54,0.51,0.5,0.6,0.4,0.7
