name,category,lat,lon,sustainability,popularity
Dalí Theatre‑Museum,Museum,42.2678,2.9602,0.3,0.91
Castell de Sant Ferran,Historic,42.2736,2.9626,0.3,0.91
Toy Museum of Catalonia,Museum,42.2675,2.9612,0.3,0.87
Church of Sant Pere,Historic,42.2687,2.9597,0.3,0.9
La Rambla de Figueres,Square,42.267,2.9575,0.3,0.89
Museu de l'Empordà,Museum,42.2679,2.959,0.3,0.74
Torre Galatea,Historic,42.2679,2.9603,0.3,0.76
Plaça Gala i Salvador Dalí,Square,42.2659,2.9602,0.39,0.65
Museu de la Tècnica de l'Empordà,Museum,42.2672,2.96,0.3,0.87
Cinema‑Teatre El Jardí,Cultural,42.2671,2.9625,0.55,0.44
Parc Bosc,Park,42.2755,2.9566,0.3,0.82
La Cate Cultural Center,Cultural,42.2681,2.9609,0.3,0.68
Monument a Narcís Monturiol,Monument,42.2674,2.9584,0.33,0.67
Casa Natal de Salvador Dalí,Historic,42.2682,2.9602,0.35,0.71
Ermita del Bon Jesús,Historic,42.2752,2.9741,0.39,0.72
Parc de les Aigües,Park,42.2653,2.9615,0.3,0.68
Plaça de Catalunya (Figueres),Square,42.266,2.9593,0.35,0.63
Biblioteca Fages de Climent,Cultural,42.2669,2.9604,0.3,0.64
Espai Dalí Figueres,Cultural,42.268,2.9595,0.4,0.67
Església del Sagrat Cor,Historic,42.2685,2.9608,0.3,0.76
Mercat de la Plaça del Gra,Market,42.2687,2.9583,0.3,0.67
Plaça del Gra,Square,42.2687,2.9584,0.3,0.62
Parc de les Estacions,Park,42.2553,2.9523,0.35,0.7
Estadi Municipal de Vilatenim,Sports,42.2591,2.9563,0.46,0.59
Monument a Salvador Dalí,Monument,42.2669,2.9581,0.36,0.61
Parc de la Rambla,Park,42.2672,2.957,0.3,0.7
Convent dels Caputxins,Historic,42.2675,2.9628,0.57,0.41
Oficina de Turisme de Figueres,Cultural,42.2676,2.9596,0.36,0.63
Sala d'Exposicions l'Escorxador,Cultural,42.2649,2.9555,0.3,0.83
Parc dels Pinos,Park,42.2668,2.9641,0.3,0.69
