name,category,lat,lon,sustainability,popularity,municipality,z1,z2,z3,z4,z5,z6
Roman Amphitheatre of Tarragona,Historic,41.1167,1.254,0.3,0.9,tarragona,0.4,0.9,0.5,0.6,0.3,0.7
Roman Circus of Tarraco,Historic,41.119,1.257,0.3,0.75,tarragona,0.4,0.75,0.6,0.5,0.3,0.7
Tarragona Cathedral,Monument,41.1181,1.2575,0.3,0.8,tarragona,0.4,0.8,0.5,0.6,0.3,0.7
Les Ferreres Aqueduct (Pont del Diable),Historic,41.1536,1.2703,0.3,0.7,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
Balcó del Mediterrani,Viewpoint,41.1156,1.2572,0.3,0.85,tarragona,0.3,0.85,0.5,0.6,0.4,0.7
National Archaeological Museum of Tarragona,Museum,41.1184,1.2581,0.43,0.65,tarragona,0.4,0.7,0.5,0.6,0.3,0.8
Passeig Arqueològic (Tarraco Walls),Historic,41.1199,1.2567,0.3,0.6,tarragona,0.3,0.6,0.5,0.7,0.4,0.8
Paleochristian Necropolis,Museum,41.115,1.2548,0.43,0.55,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
Roman Forum of Tarraco,Historic,41.1197,1.2544,0.46,0.6,tarragona,0.5,0.75,0.4,0.6,0.3,0.7
Mercat Central de Tarragona,Market,41.1174,1.2491,0.3,0.7,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
El Serrallo Fishermen Quarter,Cultural,41.114,1.247,0.37,0.6,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
Moll de Costa (Port of Tarragona),Harbor,41.1098,1.2475,0.5,0.5,tarragona,0.4,0.6,0.7,0.5,0.3,0.8
Playa del Miracle,Beach,41.1132,1.2532,0.3,0.8,tarragona,0.4,0.8,0.5,0.6,0.3,0.7
Platja de l'Arrabassada,Beach,41.1275,1.2635,0.3,0.7,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
Platja Savinosa,Beach,41.1304,1.2664,0.38,0.6,tarragona,0.4,0.6,0.5,0.7,0.3,0.8
Playa Llarga,Beach,41.1345,1.2708,0.43,0.55,tarragona,0.43,0.55,0.5,0.6,0.4,0.7
Bosque de la Marquesa,Nature,41.1515,1.291,0.71,0.4,tarragona,0.5,0.3,0.6,0.8,0.4,0.7
Cala Fonda (Waikiki),Beach,41.1537,1.2948,0.61,0.5,tarragona,0.4,0.7,0.6,0.5,0.3,0.8
Castell de Tamarit,Historic,41.1386,1.3045,0.4,0.65,tarragona,0.4,0.65,0.5,0.7,0.3,0.6
Museu d'Art Modern de Tarragona,Museum,41.1188,1.2578,0.52,0.5,tarragona,0.52,0.5,0.5,0.5,0.5,0.5
Casa Canals,Historic,41.1186,1.2569,0.59,0.45,tarragona,0.59,0.45,0.5,0.7,0.4,0.6
Tinglado 1 Exhibition Space,Cultural,41.1092,1.2482,0.67,0.4,tarragona,0.67,0.4,0.5,0.6,0.3,0.8
Plaça del Fòrum,Square,41.1183,1.257,0.45,0.5,tarragona,0.4,0.6,0.7,0.5,0.3,0.8
Plaça de la Font,Square,41.1184,1.2553,0.41,0.65,tarragona,0.41,0.65,0.5,0.7,0.3,0.8
Parc del Camp de Mart,Park,41.1201,1.255,0.54,0.4,tarragona,0.3,0.5,0.7,0.6,0.4,0.8
Auditori del Camp de Mart,Music Venue,41.1205,1.2546,0.42,0.55,tarragona,0.42,0.55,0.5,0.6,0.4,0.7
Tarraco Arena Plaça,Sports,41.1173,1.2484,0.45,0.6,tarragona,0.45,0.6,0.5,0.7,0.4,0.6
Refugi Antiaeri Carrer Lleida,Historic,41.1169,1.248,0.58,0.35,tarragona,0.58,0.35,0.6,0.7,0.4,0.8
Museu Bíblic Tarraconense,Museum,41.1189,1.2576,0.59,0.4,tarragona,0.59,0.4,0.5,0.7,0.3,0.8
Roman Theatre of Tarraco,Historic,41.1154,1.2598,0.46,0.5,tarragona,0.46,0.5,0.5,0.5,0.5,0.5
